,unix_timestamp,timestamp,dst_addr,dst_port,src_addr,src_port,proto,gid,sid,msg
0,04/07/2017 13:55, 07/04-12:55:18.499970, 192.168.10.5, 49232, 23.50.75.27, 80, TCP,119, 241," ""(http_inspect) Content-Transfer-Encoding used as HTTP header"""
1,04/07/2017 13:56, 07/04-12:56:45.765850, 192.168.10.3, 445, 192.168.10.5, 49159, TCP,1, 38322," ""NETBIOS SMB samr named pipe creation attempt"""
2,04/07/2017 13:56, 07/04-12:56:45.765898, 192.168.10.3, 445, 192.168.10.5, 49159, TCP,1, 38322," ""NETBIOS SMB samr named pipe creation attempt"""
3,04/07/2017 13:56, 07/04-12:56:48.702858, 224.0.0.22, , 192.168.10.5, , IP,116, 444," ""(ipv4) IPv4 option set"""
4,04/07/2017 13:56, 07/04-12:56:48.863614, 224.0.0.22, , 192.168.10.5, , IP,116, 444," ""(ipv4) IPv4 option set"""
5,04/07/2017 13:56, 07/04-12:56:51.527511, 192.168.10.3, 445, 192.168.10.15, 56920, TCP,1, 38322," ""NETBIOS SMB samr named pipe creation attempt"""
6,04/07/2017 13:56, 07/04-12:56:51.527559, 192.168.10.3, 445, 192.168.10.15, 56920, TCP,1, 38322," ""NETBIOS SMB samr named pipe creation attempt"""
7,04/07/2017 13:56, 07/04-12:56:54.522001, 224.0.0.22, , 192.168.10.15, , IP,116, 444," ""(ipv4) IPv4 option set"""
8,04/07/2017 13:56, 07/04-12:56:55.007512, 224.0.0.22, , 192.168.10.15, , IP,116, 444," ""(ipv4) IPv4 option set"""
9,04/07/2017 13:57, 07/04-12:57:06.430922, 224.0.0.22, , 192.168.10.51, , IP,116, 444," ""(ipv4) IPv4 option set"""
10,04/07/2017 13:57, 07/04-12:57:09.318097, 224.0.0.22, , 192.168.10.9, , IP,116, 444," ""(ipv4) IPv4 option set"""
11,04/07/2017 13:57, 07/04-12:57:09.318236, 224.0.0.22, , 192.168.10.9, , IP,116, 444," ""(ipv4) IPv4 option set"""
12,04/07/2017 13:57, 07/04-12:57:09.319398, 224.0.0.22, , 192.168.10.9, , IP,116, 444," ""(ipv4) IPv4 option set"""
13,04/07/2017 13:57, 07/04-12:57:09.393364, 224.0.0.22, , 192.168.10.9, , IP,116, 444," ""(ipv4) IPv4 option set"""
14,04/07/2017 13:57, 07/04-12:57:12.053333, 224.0.0.22, , 192.168.10.8, , IP,116, 444," ""(ipv4) IPv4 option set"""
15,04/07/2017 13:57, 07/04-12:57:12.396516, 224.0.0.22, , 192.168.10.8, , IP,116, 444," ""(ipv4) IPv4 option set"""
16,04/07/2017 13:57, 07/04-12:57:12.928485, 224.0.0.22, , 192.168.10.17, , IP,116, 444," ""(ipv4) IPv4 option set"""
17,04/07/2017 13:57, 07/04-12:57:15.169308, 224.0.0.22, , 192.168.10.19, , IP,116, 444," ""(ipv4) IPv4 option set"""
18,04/07/2017 13:57, 07/04-12:57:16.146709, 224.0.0.22, , 192.168.10.14, , IP,116, 444," ""(ipv4) IPv4 option set"""
19,04/07/2017 13:57, 07/04-12:57:16.148785, 224.0.0.22, , 192.168.10.14, , IP,116, 444," ""(ipv4) IPv4 option set"""
20,04/07/2017 13:57, 07/04-12:57:16.148912, 224.0.0.22, , 192.168.10.14, , IP,116, 444," ""(ipv4) IPv4 option set"""
21,04/07/2017 13:57, 07/04-12:57:16.149235, 224.0.0.22, , 192.168.10.14, , IP,116, 444," ""(ipv4) IPv4 option set"""
22,04/07/2017 13:57, 07/04-12:57:16.366967, 224.0.0.22, , 192.168.10.14, , IP,116, 444," ""(ipv4) IPv4 option set"""
23,04/07/2017 13:57, 07/04-12:57:42.846882, 224.0.0.22, , 192.168.10.12, , IP,116, 444," ""(ipv4) IPv4 option set"""
24,04/07/2017 13:57, 07/04-12:57:48.285613, 192.168.10.3, , 192.168.10.12, , IP,123, 8," ""(stream_ip) fragmentation overlap"""
